Molecule ChEMBL ID,Smiles,Standard Value,Standard Type,pChEMBL Value,Activity_Class
CHEMBL4092538,CCc1ccc(COc2ccc3c(c2)CCC(CN2CC(C(=O)O)C2)=C3C)c(OC)c1,0.58,EC50,9.24,Active
CHEMBL389033,CCCCCCCCc1cccc(NC(=O)[C@H](N)CCP(=O)(O)O)c1,30.0,Ki,7.52,Active
CHEMBL5884223,N=C(NC(=O)C(NC(=O)c1ccc(Cl)c(Cl)c1)c1ccc(Cl)c(Cl)c1)c1ccccc1,426.0,IC50,6.37,Active
CHEMBL5758543,CC(C)(C)OC(=O)NC(C(=O)NC(C(=O)NC(=N)c1ccccc1)c1cccc(Cl)c1)c1cccc(Cl)c1,475.0,IC50,6.32,Active
CHEMBL6053560,CCOC(=O)NC(C(=O)NC(C(=O)NC(=N)c1ccccc1)c1cccc(Cl)c1)c1ccc(Cl)cc1,1200.0,IC50,5.92,Inactive
CHEMBL5925806,N=C(NC(=O)C(NC(=O)c1ccc2ccccc2c1)c1cccc(Cl)c1)c1ccccc1,1500.0,IC50,5.82,Inactive
CHEMBL5842277,CC(C)(C)OC(=O)NC(C(=O)NC(C(=O)NC(=N)c1ccccc1)c1cccc(Cl)c1)c1ccc(Cl)c(Cl)c1,34300.0,IC50,4.46,Inactive
CHEMBL224853,Cc1cc(CN2CC(C(=O)O)C2)cc(C)c1OCc1cc(-c2ccccc2)c(C(F)(F)F)s1,1.3,EC50,8.89,Active
CHEMBL224571,O=C(O)C1CN(Cc2ccc(OCc3cc(-c4ccccc4)c(C(F)(F)F)s3)c(Cl)c2)C1,1.4,EC50,8.85,Active
CHEMBL197502,CC(C)(C)c1ccc(-c2nnc(-c3ccccc3N)o2)cc1,27.0,IC50,7.57,Active
CHEMBL185447,CCCCCCCCCCCCCCN1CCCC1CCP(=O)(O)O,89.0,IC50,7.05,Active
CHEMBL184237,CCCCCCCCCCCCCCN1CCC(O)(P(=O)(O)O)C1,49.0,IC50,7.31,Active
CHEMBL323617,CCCCCCCc1nc(-c2ccc(CNCCCP(=O)(O)O)cc2)no1,0.5,IC50,9.3,Active
CHEMBL325247,CCCCCCOc1c(Br)cc(CNCCCP(=O)(O)O)cc1OC,7.3,IC50,8.14,Active
CHEMBL6049306,N#Cc1ccc(C(=O)N[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(Cl)cn2)cc1C#N,389.0,IC50,6.41,Active
CHEMBL6024163,CCCCCCCCc1ccc(CN2CCC(N)(COP(=O)(O)O)C2=O)cc1,41.0,EC50,7.39,Active
CHEMBL5752949,N#Cc1ccc(C(=O)N[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(Cl)cn2)cc1F,1300.0,IC50,5.89,Inactive
CHEMBL5857078,N#Cc1ccc(C(=O)N[C@@H](c2ccc(Cl)cc2)c2ccc(Cl)cn2)cc1Cl,1800.0,IC50,5.75,Inactive
CHEMBL5914560,O=C(Nc1ccc(Cl)c(Cl)c1)NC(c1ccccc1)c1nc(-c2ccccc2)no1,881.0,IC50,6.05,Active
CHEMBL5990602,N#Cc1ccc(C(=O)N[C@@H](c2ccc(Cl)cc2)c2ccc(Cl)cn2)cc1C#N,3200.0,IC50,5.5,Inactive
CHEMBL5830964,O=C(N[C@@H](c1ccc(Cl)c(Cl)c1)c1ccc(Cl)cn1)c1ccc(-n2cncn2)c(F)c1,4100.0,IC50,5.39,Inactive
CHEMBL3341922,NC(CO)(CCc1ccc(-c2coc(-c3ccc(OC(F)(F)F)cc3)n2)cc1)COP(=O)(O)O,74.0,EC50,7.13,Active
CHEMBL3341918,COc1ccc(-c2nc(-c3ccc(CCC(N)(CO)COP(=O)(O)O)cc3)co2)cc1,7.6,EC50,8.12,Active
CHEMBL3342009,CC(C)c1ccc(-n2cc(-c3ccc(CCC(N)(CO)COP(=O)(O)O)cc3)nn2)cc1,29.0,EC50,7.54,Active
CHEMBL3342008,CCc1ccc(-n2cc(-c3ccc(CCC(N)(CO)COP(=O)(O)O)cc3)nn2)cc1,53.0,EC50,7.28,Active
CHEMBL3341932,NC(CO)(CCc1ccc(-c2coc(Cc3ccc(Cl)cc3)n2)cc1)COP(=O)(O)O,17.8,EC50,7.75,Active
CHEMBL184591,CCCCCCCCCCCCCCNC1CCC(P(=O)(O)O)C1,360.0,IC50,6.44,Active
CHEMBL186921,CCCCCCCCCCCCCCNC1CCCC(P(=O)(O)O)C1,23.0,IC50,7.64,Active
CHEMBL181597,CCCCCCCCCc1ccc(CN[C@H]2CCC[C@H](P(=O)(O)O)C2)cc1,0.16,IC50,9.8,Active
CHEMBL5908263,Cc1ccc(C(=O)NC(C(=O)NC(=N)c2ccccc2)c2cccc(Cl)c2)cc1,3500.0,IC50,5.46,Inactive
CHEMBL5862742,Cc1ccc(C(=O)NC(C(=O)NC(=N)c2ccccc2)c2cccc(Cl)c2)cc1Cl,2000.0,IC50,5.7,Inactive
CHEMBL2336066,C/C(=N\OCc1ccc(C2CCCCC2)c(C(F)(F)F)c1)c1ccc(CNCCC(=O)O)c(Br)c1,0.4,EC50,9.4,Active
CHEMBL2336065,C/C(=N\OCc1ccc(C2CCCCC2)c(C(F)(F)F)c1)c1ccc(CNCCC(=O)O)c(Cl)c1,0.6,EC50,9.22,Active
CHEMBL2336078,C/C(=N\OCc1ccc(-c2ccccc2C(F)(F)F)cc1)c1ccc(CNCCC(=O)O)cc1,1700.0,EC50,5.77,Inactive
CHEMBL3753602,CC(C)Oc1ncc(-c2nc(-c3cc(F)c(OC[C@H](N)CO)cc3Cl)no2)cc1C#N,0.5,EC50,9.3,Active
CHEMBL3753275,Cc1nc(-c2nc(-c3cc(F)c(OC[C@H](N)CO)cc3Cl)no2)ccc1OC(C)C,49.0,EC50,7.31,Active
CHEMBL3754277,CCOc1ncc(-c2nnc(-c3cc(F)c(OC[C@H](N)CO)cc3Cl)s2)cc1Cl,594.0,EC50,6.23,Active
CHEMBL1409828,CCOC(=O)c1cc2ccc(OC(=O)c3ccco3)cc2oc1=O,2080.0,EC50,5.68,Inactive
CHEMBL1683051,O=C(O)CCN1CCC/C(=C\c2ccc(OCCCc3ccccc3)cc2)C1,1500.0,EC50,5.82,Inactive
CHEMBL1683044,O=C(O)CCNCCCc1ccc(OCCCCCCc2ccccc2)cc1,2700.0,EC50,5.57,Inactive
CHEMBL3916072,Cc1cc(-c2nnc(-c3ccc4c(c3)CC(N)(CO)CC4)o2)ccc1OC(C)C,3.0,IC50,8.52,Active
CHEMBL3959799,CCNC1(CO)CCc2ccc(-c3nnc(-c4ccc(OC(C)C)c(C)c4)o3)cc2C1,37.6,IC50,7.42,Active
CHEMBL325198,CCCCCCCCc1ccc(CCC(N)CCP(=O)(O)O)cc1,8.4,IC50,8.08,Active
CHEMBL3126436,CCc1cc(-c2noc(-c3cc(C)nc(CC(C)C)c3)n2)cc(C)c1OC[C@@H](O)CNC(=O)CO,0.1,EC50,10.0,Active
CHEMBL3126617,CCc1cc(-c2noc(-c3cc(C)cc(CC(C)C)n3)n2)cc(C)c1OC[C@@H](O)CNC(=O)CO,0.5,EC50,9.3,Active
CHEMBL396847,CCCCCCCCCCC#CC(C)(O)c1ccccc1-c1ccc(Sc2ccc(OCCCC)cc2)c(S(=O)(=O)[O-])c1.[Na+],1000.0,IC50,6.0,Active
CHEMBL603442,Cc1nn(C(=O)/C=C/c2ccc(-c3ccccc3)cc2)c2c1[C@H]1[C@@H](C2)C1(C)C,280.0,EC50,6.55,Active
CHEMBL1938932,O=C(O)C1CN(Cc2ccc(-c3nc4ccc(C(=O)N5CCSC5)cc4s3)c(F)c2)C1,2710.0,EC50,5.57,Inactive
CHEMBL1938936,CC1(C)SCCN1C(=O)c1ccc2nc(-c3ccc(CN4CC(C(=O)O)C4)cc3F)sc2c1,430.0,EC50,6.37,Active
CHEMBL1651861,O=C(O)C1CN(Cc2ccc(-c3nc4ccc(C5(c6ccccc6)CC5)nc4s3)c(F)c2)C1,2.0,EC50,8.7,Active
CHEMBL1951153,O=C(O)C1CN(Cc2csc(-c3noc(-c4ccc(Oc5ccccc5)cc4)n3)c2)C1,34.0,EC50,7.47,Active
CHEMBL1949690,CCCCc1ccccc1Oc1ccc(-c2nc(-c3sc(CN4CC(C(=O)O)C4)cc3CC)no2)cc1,9.0,EC50,8.05,Active
