Common_Name,SMILES,MolWt,LogP,NumHDonors,NumHAcceptors,NumRings,NumRotatableBonds,NumHeavyAtoms,NumHeteroatoms,NumAromaticRings,TPSA,FractionCSP3,MorganFingerprint,Predicted_Prob,Predicted_Activity
Ceralifimod,CCCc1ccc(COc2ccc3c(c2)CCC(CN2CC(C(=O)O)C2)=C3C)c(OC)c1,435.5640000000002,4.962800000000005,1.0,4.0,4.0,9.0,32.0,5.0,2.0,59.0,0.4444444444444444,[0 0 0 ... 1 0 0],1.0,1
Ponesimod,CCC/N=C1\S/C(=C\c2ccc(OC[C@H](O)CO)c(Cl)c2)C(=O)N1c1ccccc1C,460.9830000000001,4.267320000000003,2.0,6.0,3.0,8.0,31.0,8.0,2.0,82.36,0.3043478260869565,[0 1 0 ... 0 0 0],1.0,1
Etrasimod,O=C(O)C[C@H]1CCc2c1[nH]c1ccc(OCc3ccc(C4CCCC4)c(C(F)(F)F)c3)cc21,457.49200000000025,6.927800000000006,2.0,2.0,5.0,6.0,33.0,7.0,3.0,62.31999999999999,0.4230769230769231,[0 0 0 ... 0 0 0],1.0,1
Siponimod,CCc1cc(/C(C)=N/OCc2ccc(C3CCCCC3)c(C(F)(F)F)c2)ccc1CN1CC(C(=O)O)C1,516.6040000000002,6.7727000000000075,1.0,4.0,4.0,9.0,37.0,8.0,2.0,62.129999999999995,0.5172413793103449,[0 0 1 ... 1 0 0],1.0,1
Ozanimod,CC(C)Oc1ccc(-c2nc(-c3cccc4c3CC[C@@H]4NCCO)no2)cc1C#N,404.4700000000001,3.631680000000002,2.0,7.0,4.0,7.0,30.0,7.0,3.0,104.2,0.3478260869565217,[0 1 0 ... 0 0 0],1.0,1
Cenerimod,CCc1cc(-c2noc(-c3cc(OC)nc(C4CCCC4)c3)n2)cc(C)c1OC[C@@H](O)CO,453.5390000000002,4.067620000000004,2.0,8.0,4.0,9.0,33.0,8.0,3.0,110.73000000000002,0.48,[0 1 0 ... 0 0 0],0.995,1
ASP-4058,C[C@H](Oc1ccc(-c2nc(-c3ccc4[nH]cnc4c3)no2)cc1C(F)(F)F)C(F)(F)F,442.319,5.628300000000001,1.0,5.0,4.0,4.0,31.0,12.0,4.0,76.83,0.2105263157894736,[0 1 0 ... 0 0 0],0.985,1
Fingolimod,CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1,307.478,3.204300000000001,3.0,3.0,1.0,12.0,22.0,3.0,1.0,66.48,0.6842105263157895,[0 0 1 ... 0 0 0],0.97,1
GSK-2018682,CC(C)Oc1ncc(-c2nc(-c3cccc4c3ccn4CCCC(=O)O)no2)cc1Cl,440.8870000000003,5.0587000000000035,1.0,7.0,4.0,8.0,31.0,9.0,4.0,103.27,0.2727272727272727,[0 1 0 ... 1 0 0],0.96,1
1-Monohexanoyl-2-Hydroxy-Sn-Glycero-3-Phosphate,CCCCCC(=O)OC[C@H](O)COP(=O)(O)O,270.21799999999996,0.5800999999999996,3.0,5.0,0.0,9.0,17.0,8.0,0.0,113.29000000000002,0.8888888888888888,[0 1 0 ... 0 0 0],0.953138888888889,1
Udifitimod,COc1ccccc1CC[C@@H]1CCc2cc([C@H]3CC[C@](N)(CO)C3)ccc2C1,379.54400000000015,4.390200000000003,2.0,3.0,4.0,6.0,28.0,3.0,2.0,55.48,0.52,[0 0 0 ... 0 0 0],0.945,1
"S-[2-({N-[(2S)-2-hydroxy-3,3-dimethyl-4-(phosphonooxy)butanoyl]-beta-alanyl}amino)ethyl] octanethioate",CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](O)C(C)(C)COP(=O)(O)O,484.5520000000002,1.7256,5.0,7.0,0.0,17.0,31.0,12.0,0.0,162.26,0.8421052631578947,[0 1 0 ... 0 0 0],0.9254583333333334,1
Amiselimod,CCCCCCCOc1ccc(CCC(N)(CO)CO)cc1C(F)(F)F,377.447,3.6693000000000016,3.0,4.0,1.0,12.0,26.0,7.0,1.0,75.71000000000001,0.6842105263157895,[0 0 1 ... 0 0 0],0.923,1
1-DECYL-3-TRIFLUORO ETHYL-SN-GLYCERO-2-PHOSPHOMETHANOL,CCCCCCCCCCOC[C@@H](COCC(F)(F)F)O[P@@](=O)(O)OC,408.394,4.854600000000006,1.0,5.0,0.0,17.0,26.0,10.0,0.0,74.22000000000001,1.0,[0 1 0 ... 0 0 0],0.92125,1
"S-[2-({N-[(2S)-2-hydroxy-3,3-dimethyl-4-(phosphonooxy)butanoyl]-beta-alanyl}amino)ethyl] hexanethioate",CCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](O)C(C)(C)COP(=O)(O)O,456.49800000000016,0.9453999999999994,5.0,7.0,0.0,15.0,29.0,12.0,0.0,162.26,0.8235294117647058,[0 1 0 ... 0 0 0],0.9204583333333334,1
(R)-2-(FORMYLOXY)-3-(PHOSPHONOOXY)PROPYL PENTANOATE,CCCCC(=O)OC[C@H](COP(=O)(O)O)OC=O,284.20099999999996,0.3706999999999998,2.0,6.0,0.0,10.0,18.0,9.0,0.0,119.36,0.7777777777777778,[0 1 0 ... 0 0 0],0.92,1
BMS-986104,CCCCCC[C@@H]1CCc2cc([C@H]3CC[C@](N)(CO)C3)ccc2C1,329.5280000000001,4.719200000000003,2.0,2.0,3.0,7.0,24.0,2.0,1.0,46.25,0.7272727272727273,[0 0 0 ... 0 0 0],0.915,1
METHOXYUNDECYLPHOSPHINIC ACID,CCCCCCCCCCC[P@](=O)(O)OC,250.31899999999996,4.349000000000004,1.0,2.0,0.0,11.0,16.0,4.0,0.0,46.53,1.0,[0 0 0 ... 0 0 0],0.9125,1
"(2,2-DIPHOSPHONOETHYL)(DODECYL)DIMETHYLPHOSPHONIUM",CCCCCCCCCCCC[P+](C)(C)CC(P(=O)(O)O)P(=O)(O)O,419.396,4.866000000000009,4.0,2.0,0.0,15.0,25.0,9.0,0.0,115.06,1.0,[0 1 0 ... 0 0 0],0.9,1
Lysophosphotidylserine,CCCCCCCCCCCCCC[C@H](O)OC[C@@H](O)COP(=O)(O)OC[C@H](N)C(=O)O,485.5550000000002,3.319,5.0,8.0,0.0,23.0,32.0,11.0,0.0,168.77,0.9523809523809524,[0 1 0 ... 0 0 0],0.8912222222222224,1
"(2R)-3-(phosphonooxy)propane-1,2-diyl diheptanoate",CCCCCCC(=O)OC[C@H](COP(=O)(O)O)OC(=O)CCCCCC,396.41700000000026,3.491500000000003,2.0,6.0,0.0,16.0,26.0,9.0,0.0,119.36,0.8823529411764706,[0 1 0 ... 0 0 0],0.89,1
N-Hexylphosphonate Ethyl Ester,CCCCCC[P@](=O)(O)OCC,194.211,2.7886000000000015,1.0,2.0,0.0,7.0,12.0,4.0,0.0,46.53,1.0,[0 0 0 ... 0 0 0],0.885125,1
D-pantetheine 4'-phosphate,CC(C)(COP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS,358.3530000000001,-0.9648999999999996,6.0,6.0,0.0,10.0,22.0,11.0,0.0,145.19,0.8181818181818182,[0 1 0 ... 0 0 0],0.8823333333333333,1
1-O-Octyl-2-Heptylphosphonyl-Sn-Glycero-3-Phosphoethanolamine,CCCCCCCCOC[C@H](COP(=O)(O)OCCN)OP(=O)(O)CCCCCCC,489.5270000000005,4.996800000000004,3.0,7.0,0.0,23.0,31.0,11.0,0.0,137.54,1.0,[0 1 0 ... 0 0 0],0.8805555555555555,1
Phosphopantothenic acid,CC(C)(COP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)O,299.21600000000007,-0.9263000000000008,5.0,5.0,0.0,8.0,19.0,10.0,0.0,153.39,0.7777777777777778,[0 1 0 ... 0 0 0],0.879,1
Open Form of 2'-Deoxy-Ribofuranose-5'-Phosphate,O=P(O)(O)OC[C@@H](O)[C@@H](O)CCO,216.126,-1.8001000000000005,5.0,5.0,0.0,6.0,13.0,8.0,0.0,127.45000000000002,1.0,[0 1 0 ... 0 0 0],0.8766666666666666,1
2-Deoxy-2-Amino Glucitol-6-Phosphate,N[C@@H](CO)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,261.167,-3.502,7.0,7.0,0.0,7.0,16.0,10.0,0.0,173.7,1.0,[0 1 0 ... 0 0 1],0.875,1
sn-glycerol 3-phosphate,O=P(O)(O)OC[C@H](O)CO,172.07299999999998,-1.5511,4.0,4.0,0.0,4.0,10.0,7.0,0.0,107.22,1.0,[0 1 0 ... 0 0 0],0.8748055555555555,1
Lpc-Ether,CCCCCCCCCCCCCCCCCCOC[C@@H](O)CO[P@](=O)(O)OCC[N+](C)(C)C,510.7170000000002,6.465200000000007,2.0,5.0,0.0,26.0,34.0,8.0,0.0,85.22,1.0,[0 1 0 ... 0 0 0],0.8725,1
Arabinose-5-phosphate,O=P(O)(O)OC[C@@H](O)[C@@H](O)[C@H](O)CO,232.125,-2.8293000000000004,6.0,6.0,0.0,6.0,14.0,9.0,0.0,147.68,1.0,[0 1 0 ... 0 0 0],0.8716666666666666,1
L-xylitol 5-phosphate,O=P(O)(O)OC[C@H](O)[C@@H](O)[C@H](O)CO,232.125,-2.8293000000000004,6.0,6.0,0.0,6.0,14.0,9.0,0.0,147.68,1.0,[0 1 0 ... 0 0 0],0.8716666666666666,1
2-Deoxy-Glucitol-6-Phosphate,O=P(O)(O)OC[C@@H](O)[C@@H](O)[C@H](O)CCO,246.152,-2.4392,6.0,6.0,0.0,7.0,15.0,9.0,0.0,147.68,1.0,[0 1 0 ... 0 0 0],0.8716666666666666,1
"L-Alfa-Lysophosphatidylcholine, Lauroyl",CCCCCCCCCCCC(=O)OCC(O)COP(=O)(O)OCC[N+](C)(C)C,440.5380000000002,3.651200000000002,2.0,6.0,0.0,19.0,29.0,9.0,0.0,102.29000000000002,0.95,[0 1 0 ... 0 0 0],0.8675,1
