Ligand,Best_Affinity
1_Ceralifimod.pdbqt,-8.27
2_Ponesimod.pdbqt,-8.456
3_Etrasimod.pdbqt,-11.07
4_Siponimod.pdbqt,-10.921
5_Ozanimod.pdbqt,-9.255
6_Cenerimod.pdbqt,-9.88
7_ASP_4058.pdbqt,-10.635
8_Fingolimod.pdbqt,-7.272
9_GSK_2018682.pdbqt,-9.502
10_1_Monohexanoyl_2_Hydroxy_Sn_Glycero_3_Phosphate.pdbqt,-5.484
12_S__2___N___2S__2_hydroxy_3_3_dimethyl_4__phosphonooxy_butanoyl__beta_alanyl_amino_ethyl__octanethioate.pdbqt,-6.879
13_Amiselimod.pdbqt,-7.513
14_1_DECYL_3_TRIFLUORO_ETHYL_SN_GLYCERO_2_PHOSPHOMETHANOL.pdbqt,-6.782
15_S__2___N___2S__2_hydroxy_3_3_dimethyl_4__phosphonooxy_butanoyl__beta_alanyl_amino_ethyl__hexanethioate.pdbqt,-6.683
16__R__2__FORMYLOXY__3__PHOSPHONOOXY_PROPYL_PENTANOATE.pdbqt,-5.554
17_BMS_986104.pdbqt,-8.937
18_METHOXYUNDECYLPHOSPHINIC_ACID.pdbqt,-5.803
19__2_2_DIPHOSPHONOETHYL__DODECYL_DIMETHYLPHOSPHONIUM.pdbqt,-7.047
20_Lysophosphotidylserine.pdbqt,-6.667
21__2R__3__phosphonooxy_propane_1_2_diyl_diheptanoate.pdbqt,-6.662
22_N_Hexylphosphonate_Ethyl_Ester.pdbqt,-5.523
23_D_pantetheine_4__phosphate.pdbqt,-5.714
24_1_O_Octyl_2_Heptylphosphonyl_Sn_Glycero_3_Phosphoethanolamine.pdbqt,-5.509
25_Phosphopantothenic_acid.pdbqt,-5.696
26_Open_Form_of_2__Deoxy_Ribofuranose_5__Phosphate.pdbqt,-4.867
27_2_Deoxy_2_Amino_Glucitol_6_Phosphate.pdbqt,-4.606
29_Lpc_Ether.pdbqt,-6.722
30_Arabinose_5_phosphate.pdbqt,-4.484
31_L_xylitol_5_phosphate.pdbqt,-4.852
32_2_Deoxy_Glucitol_6_Phosphate.pdbqt,-5.214
33_L_Alfa_Lysophosphatidylcholine__Lauroyl.pdbqt,-6.28
34_D_glucitol_6_phosphate.pdbqt,-4.629
35_Pegnivacogin.pdbqt,-6.247
36_1__2__Dioleoyl__sn__glycero__3__phospho__L__serine.pdbqt,-4.78
37_1_Deoxy_D_xylulose_5_phosphate.pdbqt,-4.943
38_D_glyceraldehyde_3_phosphate.pdbqt,-4.19
39__1_HYDROXYHEPTANE_1_1_DIYL_BIS_PHOSPHONIC_ACID_.pdbqt,-6.285
40__1_HYDROXYNONANE_1_1_DIYL_BIS_PHOSPHONIC_ACID_.pdbqt,-6.201
41_Lauryl_alcohol_diphosphonic_acid.pdbqt,-6.592
42_Pentyl_Trihydrogen_Diphosphate.pdbqt,-5.732
43_Vitamin_B6_Complexed_with_2_Amino_Hexanoic_Acid.pdbqt,-6.265
44_D_erythrose_4_phosphate.pdbqt,-4.646
45_4_Hydroxy_L_Threonine_5_Monophosphate.pdbqt,-4.583
46_Norleucine_Phosphonate.pdbqt,-5.243
48_Butylphosphonate.pdbqt,-4.281
49_Phosphatidyl_serine.pdbqt,-6.09
50__1S__menthyl_hexyl_phosphonate_group.pdbqt,-7.053
51__1R__menthyl_hexyl_phosphonate_group.pdbqt,-6.284
52_1_Deoxy_6_O_Phosphono_1___Phosphonomethyl_Amino__L_Threo_Hexitol.pdbqt,-5.249
53_L_histidinol_phosphate.pdbqt,-5.231
54_4_phospho_L_threonic_acid.pdbqt,-4.605
55_5_phospho_D_arabinohydroxamic_acid.pdbqt,-5.212
56_4_phospho_D_erythronic_acid.pdbqt,-4.689
57_4_Phospho_D_erythronohydroxamic_acid.pdbqt,-4.851
58_3_phospho_D_glyceric_acid.pdbqt,-4.336
59_Dexfosfoserine.pdbqt,-4.537
60_Triclofos.pdbqt,-4.758
61_Creatinolfosfate.pdbqt,-5.066
62____2_2_Dihydroxy_Ethyl___2_3_4_5_Tetrahydroxy_6_Phosphonooxy_Hexyl__Amino__Methyl__Phosphonic_Acid.pdbqt,-5.294
63_1_2_Di_1__3_7_11_15_Tetramethyl_Hexadecane__Sn_Glycero_3_Phosphate.pdbqt,-5.498
64_L_Threonohydroxamate_4_Phosphate.pdbqt,-4.404
65_Aficamten.pdbqt,-8.892
66_Enobosarm.pdbqt,-8.489
67_1_2_dihexadecanoyl_sn_glycero_3_phosphoethanolamine.pdbqt,-5.892
68_Ethyl_dihydrogen_phosphate.pdbqt,-3.703
69_Di_Stearoyl_3_Sn_Phosphatidylethanolamine.pdbqt,-6.163
70_Ribose_5_phosphate.pdbqt,-4.662
72_1_6_Di_O_Phosphono_D_Allitol.pdbqt,-5.094
73__S__2__Phosphonoxy_Caproyl_L_Leucyl_P_Nitroanilide.pdbqt,-7.87
74_1_6_DI_O_PHOSPHONO_D_MANNITOL.pdbqt,-4.881
76_L_Xylulose_5_Phosphate.pdbqt,-4.81
77_Fructose_6_phosphate.pdbqt,-5.009
78_Ribulose_5_Phosphate.pdbqt,-4.626
79_Fructose__6_Phosphate.pdbqt,-4.939
80_Phosphatidyl_ethanol.pdbqt,-5.507
81_5_Phosphoarabinonic_Acid.pdbqt,-4.9
82_Mixed_Carbamic_Phosphoric_Acid_Anhydride_of_7_8_Diaminononanic_Acid.pdbqt,-6.274
83__2R__3______2S__2_3_DIHYDROXYPROPYL_OXY__HYDROXY_PHOSPHORYL_OXY__2___9E__HEXADEC_9_ENOYLOXY_PROPYL__9E__OCTADEC_9_ENOATE.pdbqt,-5.865
84_1_Palmitoyl_2_oleoyl_sn_glycero_3__phospho_rac__1_glycerol__.pdbqt,-6.072
85_6_phospho_D_gluconic_acid.pdbqt,-5.153
86_L_gulonic_acid_6_phosphate.pdbqt,-5.244
87_Fosfructose.pdbqt,-4.938
88_1_6_Fructose_Diphosphate__Linear_Form_.pdbqt,-5.37
89_Ibandronate.pdbqt,-5.876
90_2__1_3_benzodioxol_5_yl__5___3_fluoro_4_methoxybenzyl_sulfanyl__1_3_4_oxadiazole.pdbqt,-8.63
91__2R__2_Acetamido_3__octadecyloxy_propyl_2__methylsulfanyl_ethyl_hydrogen_phosphate.pdbqt,-6.724
92_Ronacaleret.pdbqt,-8.597
93_Adomeglivant.pdbqt,-11.314
94_CP_195543.pdbqt,-10.362
95_Vitamin_B6_Complexed_with_2_Amino_Pentanoic_Acid.pdbqt,-6.736
97_PHOSPHONIC_ACID_2_DODECANOYLAMINO_HEXYL_ESTER_PROPYL_ESTER.pdbqt,-6.742
98_Hexylphosphonic_acid__R__2_methyl_3_phenylpropyl_ester.pdbqt,-7.641
99_Hexylphosphonic_acid__S__2_methyl_3_phenylpropyl_ester.pdbqt,-7.457
100_Mannose_6_phosphate.pdbqt,-5.073
102_Glucose_6_Phosphate.pdbqt,-4.784
104_1_2_Dipalmitoyl_Phosphatidyl_Glycerole.pdbqt,-6.705
105_Phosphorylcolamine.pdbqt,-3.626
106_D_Gluco_2_5_Anhydro_1_Deoxy_1_Phosphonohexitol_6_Phosphate.pdbqt,-6.02
107_2_deazo_6_thiophosphate_guanosine_5__monophosphate.pdbqt,-6.568
108_VB_201.pdbqt,-6.067
109_2___4__TRIFLUOROMETHOXY_BENZOYL_AMINO_ETHYL_DIHYDROGEN_PHOSPHATE.pdbqt,-7.364
110__6E_11E__HEPTADECA_6_11_DIENE_9_9_DIYLBIS_PHOSPHONIC_ACID_.pdbqt,-6.66
111_2_5_Anhydroglucitol_1_6_Biphosphate.pdbqt,-5.488
113_Phosphatidylethanolamine.pdbqt,-5.777
114_4__2_Amino_Ethoxy__2___3_Hydroxy_2_Methyl_5_Phosphonooxymethyl_Pyridin_4_Ylmethyl__Amino__but_3_Enoic_Acid.pdbqt,-5.896
115_Propyl_Trihydrogen_Diphosphate.pdbqt,-4.968
117_SGS_742.pdbqt,-4.78
118_Fospropofol.pdbqt,-6.67
119_Cardarine.pdbqt,-8.861
120_MIP_1095_I_131.pdbqt,-7.437
123_L_alpha_Glycerophosphorylethanolamine.pdbqt,-4.332
124_sn_glycero_3_phosphoethanolamine.pdbqt,-4.482
125_Foslevodopa.pdbqt,-6.408
126_Dihydroxyacetone_phosphate.pdbqt,-4.315
127_2_Phosphoglycolic_Acid.pdbqt,-4.142
129_5_10_Dimethylene_Tetrahydromethanopterin.pdbqt,-6.665
130_Zidovudine_monophosphate.pdbqt,-7.366
131_Indole_3_Glycerol_Phosphate.pdbqt,-7.065
134_1_Deoxy_Ribofuranose_5__Phosphate.pdbqt,-5.17
135_Febuxostat.pdbqt,-7.505
136_Lysophosphatidylglycerol.pdbqt,-6.677
137_Tedizolid_phosphate.pdbqt,-10.248
138_2_Deoxy_Glucose_6_Phosphate.pdbqt,-5.706
139_Ataluren.pdbqt,-9.036
141_ALK_4290.pdbqt,-9.28
142_N_acetyl_D_glucosamine_6_phosphate.pdbqt,-6.156
143_Phosphoglycolohydroxamic_Acid.pdbqt,-4.613
144_Fosravuconazole.pdbqt,-7.603
145_Barasertib.pdbqt,-8.566
146_1__2_DEOXYRIBOFURANOSYL__2_4_DIFLUORO_5_METHYL_BENZENE_5_MONOPHOSPHATE.pdbqt,-8.142
147_N_cyclopropyl_2__6_dimethyl_4___5_methyl_1_3_4_oxadiazol_2_yl_biphenyl_3_carboxamide.pdbqt,-10.006
148_AP_22408.pdbqt,-7.235
149_Isopentyl_Pyrophosphate.pdbqt,-5.614
150_Foscarbidopa.pdbqt,-6.316
151__1Z__2_HYDROXY_3_OXOHEX_1_EN_1_YL_DIHYDROGEN_PHOSPHATE.pdbqt,-5.449
152_5_Phosphoribosyl_1__Beta_Methylene__Pyrophosphate.pdbqt,-5.724
153_Regrelor.pdbqt,-8.315
155_D_Glycero_D_Mannopyranose_7_Phosphate.pdbqt,-5.507
