Ligand,Best_Affinity_(kcal/mol)
93_Adomeglivant,-11.314
374_4__6____4_METHYLCYCLOHEXYL_AMINO_METHYL__1_4_DIHYDROINDENO_1_2_C_PYRAZOL_3_YL_BENZOIC_ACID,-11.268
3_Etrasimod,-11.07
348_Vamotinib,-10.989
4_Siponimod,-10.921
463_Ponatinib,-10.677
441_Sorafenib,-10.638
7_ASP_4058,-10.635
278_Tegobuvir,-10.563
370_CM_4307,-10.5
94_CP_195543,-10.362
194_PF_06291874,-10.307
249_Imiglitazar,-10.263
137_Tedizolid_phosphate,-10.248
175_Baxdrostat,-10.044
423__2S__2_hydroxy_2_methyl_N__4_nitro_3__trifluoromethyl_phenyl__3__pentafluorophenoxy_propanamide,-10.034
147_N_cyclopropyl_2__6_dimethyl_4___5_methyl_1_3_4_oxadiazol_2_yl_biphenyl_3_carboxamide,-10.006
295_APT_101,-10.004
491_Acebilustat,-9.984
276_HQP1351,-9.983
450_Vipoglanstat,-9.952
460_Vutiglabridin,-9.906
6_Cenerimod,-9.88
269_Estramustine_phosphate,-9.874
234__4___2S__2_Acetamido_3____1S__1__3_carbamoyl_4__cyclohexylmethoxy_phenyl_ethyl_amino__3_oxopropyl__2_phosphonophenoxy_acetic_acid,-9.863
497_Fasiglifam,-9.815
357_Asciminib,-9.768
440_Tedizolid,-9.755
180_Fonadelpar,-9.646
430_JNJ_28330835,-9.611
326_Rodatristat_ethyl,-9.571
492_Cedirogant,-9.526
9_GSK_2018682,-9.502
183_Pelitrexol,-9.494
319_2__5__3__7_PROPYL_3_TRIFLUOROMETHYLBENZO_D_ISOXAZOL_6_YLOXY_PROPOXY_INDOL_1_YL_ETHANOIC_ACID,-9.448
416_VK_0214,-9.425
386_5__1__3_4_Dimethoxy_Benzoyl__1_2_3_4_Tetrahydro_Quinolin_6_Yl__6_Methyl_3_6_Dihydro__1_3_4_Thiadiazin_2_One,-9.407
167_N__cyclopropylmethyl__2__methyl_5___5_methyl_1_3_4_oxadiazol_2_yl_biphenyl_4_carboxamide,-9.405
274_RU84687,-9.4
443_Sodelglitazar,-9.391
378_GLPG_1205,-9.375
296_PF_06882961,-9.354
233_Bicalutamide,-9.285
141_ALK_4290,-9.28
5_Ozanimod,-9.255
221_Encaleret,-9.181
253_S_3__4_FLUOROPHENOXY__2_HYDROXY_2_METHYL_N__4_NITRO_3__TRIFLUOROMETHYL_PHENYL_PROPANAMIDE,-9.154
359_Bedoradrine,-9.153
179_Difamilast,-9.133
421_Mocravimod,-9.081
425_N__3___1_Aminoethyl__Hydroxy_Phosphoryl__2__1_1__Biphenyl_4_Ylmethyl_Propanoyl_Alanine,-9.077
224_Andarine,-9.065
139_Ataluren,-9.036
280_RU82209,-9.032
322_Fosaprepitant,-9.031
356_R906289,-9.021
418_Lasalocid,-8.971
17_BMS_986104,-8.937
65_Aficamten,-8.892
366_2__deoxy_N__naphthalen_1_ylmethyl_guanosine_5___dihydrogen_phosphate_,-8.88
329_N___2____1__4_CARBOXYBUTANOYL_AMINO__2_PHENYLETHYL__HYDROXYPHOSPHINYL_OXY_ACETYL__2_PHENYLETHYLAMINE,-8.879
119_Cardarine,-8.861
485_GW_3965,-8.801
317_Fosigotifator,-8.784
433_Vocacapsaicin,-8.769
388_Flunoxaprofen,-8.741
431_RAD_140,-8.693
310_Bafetinib,-8.674
90_2__1_3_benzodioxol_5_yl__5___3_fluoro_4_methoxybenzyl_sulfanyl__1_3_4_oxadiazole,-8.63
311_Ondelopran,-8.622
182__1R__4__3_phenoxyphenyl__1_phosphonobutane_1_sulfonic_acid,-8.618
230__R__Bicalutamide,-8.597
92_Ronacaleret,-8.597
455_LFA703,-8.571
145_Barasertib,-8.566
453_Fluprostenol,-8.532
345_Amibegron,-8.53
352_Seladelpar,-8.53
66_Enobosarm,-8.489
464_Zamicastat,-8.485
252_S_23,-8.473
323_LGD2941,-8.468
257_Trifluorofurnesyl_Diphosphate,-8.468
2_Ponesimod,-8.456
287_Tiagabine,-8.367
164__R__Propafenone,-8.364
409_Ethyl__4R__4____2R_5S__2__4_fluorobenzyl__6_methyl_5____5_methyl_1_2_oxazol_3_yl_carbonyl_amino__4_oxoheptanoyl_amino__5___3S__2_oxo_3_pyrrolidinyl_pentanoate,-8.35
255_Candoxatril,-8.325
153_Regrelor,-8.315
473_Simenepag_isopropyl,-8.293
1_Ceralifimod,-8.27
435_Travoprost,-8.265
452__1__4_Fluorobenzyl_Cyclobutyl_Methyl__1s__1__Oxo_1h_Pyrazol_5_Ylamino_Acetyl_Pentylcarbamate,-8.233
271_Inarigivir,-8.223
391_1__CYCLOHEXYLAMINO__3__6_METHYL_3_4_DIHYDRO_1H_CARBAZOL_9_2H__YL_PROPAN_2_OL,-8.221
496_Enalkiren,-8.215
434_4_Amino_N__4__2__2_6_Dimethyl_Phenoxy__Acetylamino__3_Hydroxy_1_Isobutyl_5_Phenyl_Pentyl__Benzamide,-8.173
402_Quinapril,-8.17
165__S__Propafenone,-8.168
146_1__2_DEOXYRIBOFURANOSYL__2_4_DIFLUORO_5_METHYL_BENZENE_5_MONOPHOSPHATE,-8.142
332_Rezvilutamide,-8.125
411_Burixafor,-8.122
373_N_2__carbamimidoyl_N__2__4__3__4___5_carboxyfuran_2_yl_methoxy__2_3_dichlorophenyl__1_methyl_1H_pyrazol_5_yl_piperidin_1_yl__2_oxoethyl__D_leucinamide,-8.12
279_4____1R_2S__1_2_dihydroxy_2_methyl_3__4_nitrophenoxy_propyl_amino__2__trifluoromethyl_benzonitrile,-8.105
166_Propafenone,-8.08
397_Crinecerfont,-8.06
347_Fosciclopirox,-8.021
157_Furethidine,-8.018
483_PF_07304814,-8.003
160_4__3_carboxymethyl_3__4_phosphonooxy_benzyl__ureido__4___3_cyclohexyl_propyl__methyl_carbamoyl_butyric_acid,-7.973
349_Almorexant,-7.894
73__S__2__Phosphonoxy_Caproyl_L_Leucyl_P_Nitroanilide,-7.87
414_RU85493,-7.827
334_Elacestrant,-7.816
216_Ligandrol,-7.799
163_Epoprostenol,-7.752
199_MIP_1095_I_123,-7.711
380_2__METHYL__5_GERANYL_4_METHYL_PENT_3_ENYL__AMINO__ETHYL_DIPHOSPHATE,-7.68
98_Hexylphosphonic_acid__R__2_methyl_3_phenylpropyl_ester,-7.641
481_Bevantolol,-7.638
144_Fosravuconazole,-7.603
321_Zidovudine_diphosphate,-7.552
262_N6_ISOPENTENYL_ADENOSINE_5__MONOPHOSPHATE,-7.536
13_Amiselimod,-7.513
135_Febuxostat,-7.505
451_Triciribine_phosphate,-7.498
401_Tenivastatin,-7.475
