SMILES	MOL_WEIGHT	LOGP	#ROTATABLE_BONDS	#ACCEPTORS	#DONORS	SURFACE_AREA	Water solubility	Caco2 permeability	Intestinal absorption (human)	Skin Permeability	P-glycoprotein substrate	P-glycoprotein I inhibitor	P-glycoprotein II inhibitor	VDss (human)	Fraction unbound (human)	BBB permeability	CNS permeability	CYP2D6 substrate	CYP3A4 substrate	CYP1A2 inhibitior	CYP2C19 inhibitior	CYP2C9 inhibitior	CYP2D6 inhibitior	CYP3A4 inhibitior	Total Clearance	Renal OCT2 substrate	AMES toxicity	Max. tolerated dose (human)	hERG I inhibitor	hERG II inhibitor	Oral Rat Acute Toxicity (LD50)	Oral Rat Chronic Toxicity (LOAEL)	Hepatotoxicity	Skin Sensitisation	<i>T.Pyriformis</i> toxicity	Minnow toxicity
CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccc(OC[C@@H](O)CO)cc1	479.48	3.22578	6	6	2	192.763	-5.485	0.738	80.57	-3.102	Yes	Yes	Yes	-0.518	0	-1.22	-2.625	No	Yes	No	Yes	Yes	No	Yes	-0.068	No	No	0.08	No	No	3.254	2.173	Yes	No	0.485	1.143
Nc1cc(N2CCN(CCP(=O)(O)O)CC2)nc(NC[C@H]2CC[C@H](CNCCCNC3CCCCC3)CC2)n1	566.732	2.4788	14	9	6	233.807	-3.375	0.378	59.412	-2.736	Yes	No	No	0.705	0.731	-1.429	-3.796	No	Yes	No	No	No	No	No	0.758	No	No	0.025	No	Yes	2.541	3.095	Yes	No	0.285	1.879
CC(C)C[C@@H](NC(=N)N)C(=O)NCC(=O)N1CCC(c2cc(-c3ccc(OCc4ccc(C(=O)O)o4)c(Cl)c3Cl)nn2C)CC1	662.575	3.98407	12	8	5	270.029	-3.008	-0.468	40.851	-2.735	Yes	No	No	-0.165	0.218	-2.313	-4.485	No	Yes	No	No	No	No	No	-0.211	No	No	0.431	No	No	2.323	1.525	Yes	No	0.285	3.103
C[C@](O)(COc1ccc([N+](=O)[O-])cc1)[C@@H](O)Nc1ccc(C#N)c(C(F)(F)F)c1	411.336	3.04558	7	7	3	162.472	-4.408	1.092	72.101	-2.737	Yes	Yes	No	-0.805	0	-1.327	-2.829	No	Yes	No	No	No	No	No	0.532	No	No	-0.208	No	No	2.661	2.462	Yes	No	0.31	0.588
CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1	341.451	3.2414	11	4	2	149.392	-4.611	1.083	95.394	-2.87	Yes	Yes	Yes	0.901	0.036	-0.421	-2.739	No	Yes	Yes	No	No	Yes	Yes	1.066	No	No	0.468	No	Yes	2.581	1.918	No	No	0.672	1.326
C#CCN(c1nc(-c2cc(C)c(OC)cc2Cl)c(C)s1)[C@@H](CC1CC1)c1ccc(C)c(F)c1	483.052	7.51746	8	4	0	204.120	-7.435	1.055	94.844	-2.696	No	Yes	Yes	0.765	0.044	0.636	-1.342	No	Yes	No	Yes	Yes	No	Yes	0.22	No	No	0.576	No	Yes	2.736	0.989	Yes	No	0.377	-3.736
Cc1cc(C2CCCCC2)n(OCOP(=O)(O)O)c(=O)c1	317.278	1.69982	5	5	2	122.255	-3.357	0.436	73.934	-2.889	No	No	No	-0.29	0.35	-0.46	-3.528	No	No	No	No	No	No	No	-0.166	No	No	1.106	No	No	2.552	2.733	Yes	No	0.316	1.048
CCOC(=O)C1(c2ccccc2)CCN(CCOCC2CCCO2)CC1	361.482	2.7789	8	5	0	156.156	-2.457	1.206	94.769	-2.766	No	No	No	0.714	0.469	-0.013	-3.391	No	Yes	No	No	No	Yes	No	1.34	Yes	No	-0.35	No	Yes	2.833	1.467	Yes	No	0.355	1.102
COc1cccc2[nH]c(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C(=O)COP(=O)(O)O)cc12	552.521	1.0104	13	7	6	218.816	-3.507	0.47	37.513	-2.736	Yes	Yes	No	-0.217	0.22	-1.618	-4.185	No	Yes	No	No	No	No	No	-0.009	No	No	0.451	No	No	1.814	3.098	Yes	No	0.285	2.274
CN(CCCC1CCCCC1)C(=O)[C@H](CCC(=O)O)NC(=O)N(CC(=O)O)Cc1ccc(OP(=O)(O)O)cc1	571.564	2.8066	15	6	5	226.915	-3.142	-0.554	0.836	-2.735	Yes	No	No	-1.202	0.248	-1.846	-4.299	No	No	No	No	No	No	No	0.034	No	No	1.094	No	No	2.196	2.981	No	No	0.285	5.166
CNC(=O)[C@@H](c1ccccc1)N1CCc2cc(OC)c(OC)cc2[C@@H]1CCc1ccc(C(F)(F)F)cc1	512.572	5.7419	8	4	1	214.749	-4.076	1.015	92.315	-2.733	Yes	Yes	Yes	0.191	0.091	-0.381	-1.914	No	Yes	No	Yes	No	Yes	Yes	0.688	No	No	-0.467	Yes	Yes	2.582	0.866	Yes	No	0.286	0.419
CCCC[C@H](OP(=O)(O)O)C(=O)N[C@@H](CC(C)C)C(=O)Nc1ccc([N+](=O)[O-])cc1	445.409	2.7323	12	6	4	174.138	-4.594	0.238	41.599	-2.734	Yes	Yes	No	-1.049	0.115	-1.27	-3.321	No	No	No	No	No	No	Yes	-0.001	No	No	-0.235	No	Yes	2.822	3.737	Yes	No	0.285	2.159
CC(=O)N[C@@H](Cc1ccc(OCC(=O)O)c(P(=O)(O)O)c1)C(=O)N[C@H]1CCCCN(Cc2ccc(-c3ccccc3)cc2)C1=O	637.626	2.3647	12	6	5	260.114	-3.822	-0.682	36.542	-2.735	Yes	No	No	-0.607	0.037	-1.259	-3.812	No	Yes	No	No	No	No	No	-0.393	No	No	0.465	No	No	2.696	3.237	Yes	No	0.285	4.728
CCNCCc1ccc(CN(CC)c2cc(OC)ccc2[C@@H]2CCc3cc(O)ccc3C2)cc1	458.646	5.8518	10	4	2	204.137	-5.235	0.953	93.988	-2.737	Yes	Yes	Yes	0.454	0.124	-0.373	-1.065	No	Yes	No	No	No	Yes	Yes	1.183	No	No	0.239	Yes	Yes	2.22	1.225	Yes	No	0.295	-1.165
N#Cc1ccc(N2CCC[C@@H]2[C@@H](O)C(F)(F)F)cc1C(F)(F)F	338.251	3.46908	2	3	1	127.285	-5.568	1.427	88.941	-2.76	No	No	No	-0.132	0.239	0.202	-2.7	No	Yes	No	Yes	No	No	No	0.183	No	No	-0.034	No	No	3.442	0.83	No	No	2.256	1.598
CCCCC[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)O[C@H]2C[C@H]1O	352.471	3.4085	10	4	3	149.940	-3.276	0.739	92.792	-2.731	No	No	No	-0.754	0.269	-0.929	-2.863	No	No	No	No	No	No	No	1.488	No	No	-1.445	No	No	2.326	0.852	No	No	0.415	1.018
O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)Nc1ccc([123I])cc1)C(=O)O)C(=O)O	560.334589	1.6534	13	5	7	196.827	-2.858	-0.714	0	-2.735	No	No	No	-1.976	0.408	-2.26	-3.938	No	No	No	No	No	No	No	-0.59	No	No	0.818	No	No	2.394	3.612	Yes	No	0.285	3.871
CC(C)=CCC/C(C)=C/CC/C(C)=C/CCN(C)CCO[P@](=O)(O)OP(=O)(O)O	453.453	4.9538	15	5	3	174.708	-3.263	0.362	32.946	-2.748	Yes	Yes	No	-0.09	0.348	-1.654	-3.396	No	No	No	No	No	No	No	0.124	No	No	0.596	No	No	2.479	2.93	Yes	No	0.285	-0.169
CCCCCC[P@](=O)(O)OC[C@H](C)Cc1ccccc1	298.363	4.6475	10	2	1	122.452	-4.781	1.619	89.161	-2.552	No	Yes	No	0.264	0.035	0.392	-1.465	No	Yes	Yes	Yes	No	No	No	0.368	No	No	1.013	No	No	2.631	2.283	No	No	1.697	-1.198
COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC	345.439	2.58422	10	5	2	149.093	-4.003	0.905	91.649	-2.97	Yes	Yes	No	0.625	0.125	0.121	-2.855	No	Yes	No	No	No	Yes	Yes	1.104	No	No	0.28	No	Yes	2.434	1.428	Yes	No	0.574	1.028
C[C@@H](c1nc(-c2ccc(C#N)cc2)cs1)[C@@](Cn1cncn1)(OCOP(=O)(O)O)c1ccc(F)cc1F	547.48	4.33408	10	9	2	213.568	-4.207	0.449	100	-2.735	Yes	Yes	Yes	-0.798	0.135	-1.479	-3.875	No	Yes	No	No	Yes	No	Yes	0.363	No	No	0.72	No	Yes	2.744	3.007	Yes	No	0.285	1.099
Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O	427.203	0.03772	7	9	4	149.544	-2.269	0.164	11.877	-2.736	No	No	No	0.371	0.599	-2.396	-3.951	No	No	No	No	No	No	No	-0.625	No	No	0.459	No	No	2.022	3.029	Yes	No	0.285	3.946
CC(C)CCNc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O	417.359	0.0128	8	10	5	160.338	-2.758	-0.513	58.578	-2.735	Yes	No	No	0.653	0.63	-1.784	-4.173	No	No	No	No	No	No	No	0.517	No	No	0.461	No	No	2.328	3.735	No	No	0.285	3.304
CCCCCCCOc1ccc(CCC(N)(CO)CO)cc1C(F)(F)F	377.447	3.6693	12	4	3	152.714	-4.113	0.756	88.774	-2.952	Yes	No	No	-0.011	0.259	-1.387	-3.154	No	Yes	No	No	No	Yes	No	1.151	No	No	0.256	No	Yes	3.261	1.804	Yes	No	0.623	0.384
Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O	316.382	3.7232	5	5	1	132.365	-3.181	0.89	94.132	-2.735	No	No	No	-1.308	0.288	-0.576	-2.217	No	No	No	No	No	No	No	0.303	No	No	0.817	No	No	2.682	1.139	No	No	0.277	-0.429
CN1N=C(N)c2cn([C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c3ncnc1c23	400.288	-1.3713	4	11	5	150.738	-2.837	0.9	56.923	-2.735	Yes	No	No	-0.397	0.333	-1.643	-4.419	No	No	No	No	No	No	No	0.375	No	No	0.705	No	Yes	2.517	3.74	Yes	No	0.285	3.788
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21	436.589	4.1057	10	5	3	185.926	-2.912	0.621	49.089	-2.735	Yes	No	No	-0.849	0.276	-1.279	-3.306	No	No	No	No	No	No	No	1.01	No	No	0.283	No	No	2.207	2.521	No	No	0.285	0.144
Cc1ncccc1NC(=O)c1ccc2c(c1)CC[C@@H]1C[C@@](OP(=O)(O)O)(C(F)(F)F)CC[C@@]21Cc1ccccc1	574.536	6.27952	6	4	3	229.592	-5.063	-0.035	83.693	-2.736	Yes	Yes	Yes	-1.019	0	-1.342	-2.708	No	Yes	No	Yes	Yes	No	Yes	-0.546	No	No	-0.222	No	Yes	2.152	1.802	Yes	No	0.285	-0.524
CCCCCC[P@](=O)(O)OC[C@@H](C)Cc1ccccc1	298.363	4.6475	10	2	1	122.452	-4.781	1.619	89.161	-2.552	No	Yes	No	0.264	0.035	0.392	-1.465	No	Yes	Yes	Yes	No	No	No	0.368	No	No	1.013	No	No	2.631	2.283	No	No	1.697	-1.198
Cc1cccc2c1ccn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O)O1	327.273	1.70742	4	5	3	126.875	-2.521	0.487	64.788	-2.864	No	No	No	-0.128	0.411	-1.189	-3.224	No	No	No	No	No	No	No	0.381	No	No	0.475	No	No	2.643	3.131	Yes	No	0.292	0.71
N=c1c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]3O)c2ncn1C1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O	719.276	-3.59673	12	19	11	242.546	-2.888	-0.065	0	-2.735	Yes	No	No	-0.099	0.424	-3.402	-5.824	No	No	No	No	No	No	No	-0.74	No	No	0.369	No	No	2.486	5.429	No	No	0.285	12.687
O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)Nc1ccc([131I])cc1)C(=O)O)C(=O)O	568.3351246	1.6534	13	5	7	196.827	-2.858	-0.714	0	-2.735	No	No	No	-1.976	0.408	-2.26	-3.938	No	No	No	No	No	No	No	-0.59	No	No	0.818	No	No	2.394	3.612	Yes	No	0.285	3.871
CC(=O)CC(=O)Nc1ccc(Cl)c(C(F)(F)F)c1	279.645	3.2764	3	2	1	105.929	-4.136	1.392	90.516	-3.301	No	No	No	-0.22	0.268	0.18	-2.059	No	No	Yes	No	No	No	No	0.194	No	No	0.671	No	No	3.037	1.595	Yes	No	1.729	1.082
CCCCC/C=C\C/C=C\C=C\C=C\[C@@H](SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)[C@@H](O)CCCC(=O)O	625.785	2.7769	25	8	7	257.111	-2.856	-0.673	0	-2.735	No	No	No	-1.333	0.456	-1.979	-4.413	No	No	No	No	No	No	No	-0.214	No	No	0.224	No	No	2.486	3.37	Yes	No	0.285	2.863
CCCC[C@H](NC(=O)CCC(=O)O)[P@@](=O)(O)Oc1ccccc1	343.316	2.7481	10	4	3	134.754	-3.185	1.057	39.978	-2.735	Yes	No	No	-1.156	0.16	-1.503	-3.505	No	Yes	No	No	No	No	No	0.195	No	No	0.62	No	No	2.027	2.517	No	No	0.282	0.333
C[C@H](CCOc1cccc(CC(=O)O)c1)N(Cc1cccc(C(F)(F)F)c1Cl)CC(c1ccccc1)c1ccccc1	596.089	8.4776	13	3	1	248.881	-2.894	1.608	90.135	-2.735	Yes	Yes	Yes	-0.412	0.327	-0.386	-1.8	No	Yes	No	No	No	No	No	0.123	No	Yes	0.105	No	No	2.629	1.475	Yes	No	0.285	-0.512
CC(C)[C@H](NS(=O)(=O)CCCc1ccccc1)P(=O)(O)C[C@H](C(=O)O)c1cccc(CN)c1	496.566	3.1182	13	5	4	195.280	-2.914	-0.161	38.768	-2.735	Yes	No	No	-0.196	0.224	-1.316	-3.471	No	Yes	No	No	No	No	No	-0.196	No	No	-0.057	No	No	2.517	3.308	Yes	No	0.285	-0.549
Cc1ncc(COP(=O)(O)O)c(CNC(C)(C)C(=O)O)c1O	334.265	0.65772	7	6	5	126.757	-2.038	-0.489	41.092	-2.735	Yes	No	No	-0.26	0.725	-1.365	-4.099	No	No	No	No	No	No	No	0.545	No	No	0.756	No	No	1.978	3.112	Yes	No	0.285	3.994
Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O	347.224	-0.07928	5	7	3	128.086	-2.71	0.151	42.517	-2.768	No	No	No	-0.138	0.737	-1.825	-3.835	No	No	No	No	No	No	No	-0.24	No	No	0.635	No	No	2.155	2.293	Yes	No	0.285	2.848
O=C(NCCOP(=O)(O)O)c1ccc(OC(F)(F)F)cc1	329.167	1.4243	6	4	3	116.464	-2.627	-0.113	59.138	-3.048	No	No	No	-0.849	0.385	-1.468	-3.56	No	No	No	No	No	No	No	0.075	No	No	0.785	No	No	2.529	1.849	No	No	0.254	2.308
O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNCc1ccc([123I])cc1)C(=O)O)C(=O)O	531.336589	1.6215	14	5	6	187.116	-2.825	-0.607	0	-2.735	No	No	No	-1.704	0.554	-1.877	-3.803	No	No	No	No	No	No	No	0.157	No	No	0.731	No	No	2.355	3.614	Yes	No	0.285	3.596
Cc1cn([C@H]2CC[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O	306.211	-0.36808	4	6	3	112.953	-2.44	-0.383	43.949	-2.832	No	No	No	-0.212	0.7	-1.46	-3.716	No	No	No	No	No	No	No	-0.042	No	No	0.813	No	No	2.191	2.442	Yes	No	0.287	2.895
CCCCCCC(C)(C)c1cc(O)c([C@H]2CC(=O)[C@H]3C[C@@H]2C3(C)C)c(OC(=O)/C=C/C(=O)O)c1	470.606	5.9051	10	5	2	201.945	-4.455	0.807	70.899	-2.735	Yes	No	Yes	-0.395	0.062	-0.23	-2.565	No	Yes	No	No	No	No	No	0.561	No	No	0.673	No	No	3.131	1.806	No	No	0.285	-0.54
C/C(=C(\CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N	466.456	2.63012	10	8	3	183.320	-2.706	0.428	57.298	-2.736	Yes	Yes	No	-0.093	0.278	-1.654	-4.211	No	No	No	No	No	No	No	0.051	No	No	0.112	No	No	2.051	1.871	Yes	No	0.284	1.843
Cc1cccc2c1NC(=O)[C@@H](NC(=O)[C@H](CCC(F)(F)F)[C@H](CCC(F)(F)F)C(N)=O)N=C2c1cccc(F)c1	574.497	4.76862	9	4	3	223.570	-4.755	-0.152	81.533	-2.738	Yes	Yes	Yes	-0.177	0	-1.479	-2.401	No	Yes	No	Yes	Yes	No	Yes	0.176	No	No	-0.428	No	Yes	2.552	1.46	Yes	No	0.312	0.481
CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1	307.478	3.2043	12	3	3	135.104	-3.961	0.668	92.309	-2.892	Yes	No	No	0.416	0.297	-0.329	-3.128	No	Yes	No	No	No	Yes	No	1.607	No	No	0.112	No	Yes	2.652	2.352	Yes	Yes	0.689	-0.04
O=C(O)CNC(=O)CCC[P@](=O)(O)OCc1ccc([N+](=O)[O-])cc1	360.259	1.2778	10	6	3	136.677	-3.063	0.036	45.225	-2.751	Yes	No	No	-1.488	0.21	-1.622	-3.646	No	Yes	No	No	No	No	No	0.181	No	Yes	-0.128	No	No	2.427	2.423	Yes	No	0.262	1.952
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](C)Cn1cnc2c(N)ncnc21	569.728	6.8611	25	9	2	234.523	-3.151	0.063	73.431	-2.735	Yes	Yes	No	0.237	0.378	-1.645	-4.328	No	Yes	No	No	No	No	No	1.555	No	No	0.651	No	Yes	2.447	1.598	Yes	No	0.285	-2.294
Cc1cn([C@H]2C[C@H](OP(=O)(O)O)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O	402.189	-1.28028	6	8	5	139.204	-1.884	0.163	29.442	-2.736	No	No	No	-0.026	0.594	-2.077	-4.44	No	No	No	No	No	No	No	-0.091	No	No	0.619	No	No	2.102	3.183	No	No	0.285	5.122
CC(=O)N[C@@H](Cc1ccc(P(=O)(O)O)c(P(=O)(O)O)c1)C(=O)N[C@H]1CCCCc2cc(OCC3CCCCC3)c(C(N)=O)cc21	665.617	1.9817	11	6	7	261.186	-3.338	0.465	43.448	-2.735	Yes	Yes	No	-0.285	0.094	-1.58	-4.095	No	Yes	No	No	No	No	No	-0.729	No	No	0.098	No	Yes	2.935	5.763	Yes	No	0.285	4.251
