SMILES	MOL_WEIGHT	LOGP	#ROTATABLE_BONDS	#ACCEPTORS	#DONORS	SURFACE_AREA	Water solubility	Caco2 permeability	Intestinal absorption (human)	Skin Permeability	P-glycoprotein substrate	P-glycoprotein I inhibitor	P-glycoprotein II inhibitor	VDss (human)	Fraction unbound (human)	BBB permeability	CNS permeability	CYP2D6 substrate	CYP3A4 substrate	CYP1A2 inhibitior	CYP2C19 inhibitior	CYP2C9 inhibitior	CYP2D6 inhibitior	CYP3A4 inhibitior	Total Clearance	Renal OCT2 substrate	AMES toxicity	Max. tolerated dose (human)	hERG I inhibitor	hERG II inhibitor	Oral Rat Acute Toxicity (LD50)	Oral Rat Chronic Toxicity (LOAEL)	Hepatotoxicity	Skin Sensitisation	<i>T.Pyriformis</i> toxicity	Minnow toxicity
Cc1cc(O[C@@H](CCC(F)(F)F)c2ccc(C(=O)NCCC(=O)O)cc2)cc(C)c1-c1ccc(C(C)(C)C)cc1	555.637	7.93504	10	3	2	232.932	-5.556	1.034	91.432	-2.735	Yes	No	No	-1.355	0	-0.72	-1.704	No	Yes	No	No	Yes	No	No	0.259	No	No	-0.143	No	No	2.668	2.068	Yes	No	0.285	-3.148
C[C@H]1CC[C@@H](NCc2ccc3c(c2)Cc2c(-c4ccc(C(=O)O)cc4)n[nH]c2-3)CC1	401.51	5.0144	5	3	3	176.086	-3.495	0.928	93.365	-2.735	Yes	No	No	-0.106	0	-0.834	-1.96	No	No	Yes	No	Yes	No	No	0.843	No	No	0.861	No	No	3.132	1.058	Yes	No	0.288	0.681
O=C(O)C[C@H]1CCc2c1[nH]c1ccc(OCc3ccc(C4CCCC4)c(C(F)(F)F)c3)cc21	457.492	6.9278	6	2	2	189.313	-4.856	0.37	89.002	-2.727	Yes	No	Yes	-0.391	0.058	-0.635	-1.573	No	Yes	Yes	Yes	Yes	No	No	-0.038	No	Yes	0.105	No	Yes	2.51	1.622	No	No	0.293	-0.22
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1nnc2ccccn12	532.57	4.45602	4	6	1	223.807	-3.877	1.358	91.534	-2.743	Yes	Yes	Yes	1.449	0.067	0.018	-2.083	No	Yes	No	No	No	No	No	0.346	No	No	0.218	No	Yes	3.058	1.005	Yes	No	0.287	2.158
CCc1cc(/C(C)=N/OCc2ccc(C3CCCCC3)c(C(F)(F)F)c2)ccc1CN1CC(C(=O)O)C1	516.604	6.7727	9	4	1	215.856	-4.718	0.504	88.084	-2.735	Yes	No	Yes	-0.073	0.046	-0.228	-1.916	No	Yes	No	No	No	No	No	0.46	No	No	-0.114	No	No	3.047	2.63	Yes	No	0.286	-2.412
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12	532.57	4.45602	4	6	1	223.807	-2.933	1.441	85.304	-2.735	Yes	Yes	Yes	0.229	0.08	-0.09	-2.009	No	Yes	No	Yes	Yes	No	Yes	0.372	Yes	Yes	0.021	No	Yes	2.491	0.846	Yes	No	0.285	2.637
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1	464.831	5.5497	5	4	3	185.111	-5.026	1.074	84.981	-2.764	Yes	Yes	Yes	-0.071	0	-1.67	-2.006	No	Yes	No	Yes	Yes	No	Yes	-0.205	No	No	0.422	No	Yes	2.332	0.855	Yes	No	0.333	1.12
C[C@H](Oc1ccc(-c2nc(-c3ccc4[nH]cnc4c3)no2)cc1C(F)(F)F)C(F)(F)F	442.319	5.6283	4	5	1	169.408	-2.932	1.322	81.399	-2.735	Yes	Yes	Yes	-0.429	0.055	-1.402	-2.055	No	No	Yes	Yes	Yes	No	Yes	0.177	Yes	Yes	0.205	No	Yes	2.313	1.182	Yes	No	0.285	-0.072
Fc1ccccc1-c1nc2ccn(Cc3ccc(-c4ccc(C(F)(F)F)cc4C(F)(F)F)nn3)cc-2n1	517.408	6.7319	4	5	0	204.159	-2.95	-0.302	80.906	-2.737	Yes	Yes	Yes	-0.06	0.048	0.259	-1.54	Yes	Yes	No	Yes	Yes	No	Yes	0.176	Yes	No	0.131	No	Yes	2.666	0.714	No	No	0.285	-0.973
[2H]C([2H])([2H])NC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1	467.8493053	5.5497	6	4	3	189.326	-5.078	1.021	84.019	-2.764	Yes	Yes	Yes	-0.007	0	-1.708	-2.109	No	Yes	No	Yes	Yes	No	Yes	-0.148	No	No	0.456	No	Yes	2.345	0.899	Yes	No	0.331	1.187
