Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,OC(=O)CCNC(=O)c1ccc(cc1)[C@@H](Oc1cc(C)c(c(c1)C)c1ccc(cc1)C(C)(C)C)CCC(F)(F)F,C32H36F3NO4,555.63,40,18,0.38,13,7,2,151.05,75.63,4.62,8.05,8.87,5.40,8.50,7.09,-7.83,8.19e-06,1.47e-08,Poorly soluble,-9.49,1.79e-07,3.21e-10,Poorly soluble,-10.84,8.03e-09,1.45e-11,Insoluble,Low,No,Yes,No,Yes,No,Yes,Yes,-3.97,2,4,1,1,1,0.56,0,0,3,4.24
Molecule 2,C[C@@H]1CC[C@@H](CC1)NCc1ccc2c(c1)Cc1c2[nH]nc1c1ccc(cc1)C(=O)O,C25H27N3O2,401.50,30,17,0.36,5,4,3,118.73,78.01,3.10,2.22,4.86,3.60,5.22,3.80,-3.82,6.12e-02,1.52e-04,Soluble,-3.49,1.29e-01,3.21e-04,Soluble,-7.88,5.23e-06,1.30e-08,Poorly soluble,High,No,Yes,No,No,No,Yes,No,-7.17,0,0,0,0,0,0.55,0,0,1,4.03
Molecule 3,OC(=O)C[C@H]1CCc2c1[nH]c1c2cc(cc1)OCc1ccc(c(c1)C(F)(F)F)C1CCCC1,C26H26F3NO3,457.48,33,15,0.42,7,6,2,120.37,62.32,3.70,6.37,7.93,4.70,6.99,5.94,-6.56,1.25e-04,2.73e-07,Poorly soluble,-7.47,1.55e-05,3.39e-08,Poorly soluble,-8.23,2.66e-06,5.82e-09,Poorly soluble,Low,No,Yes,No,No,Yes,Yes,Yes,-4.57,1,1,0,1,1,0.85,0,0,2,3.89
Molecule 4,CN1CCN(CC1)Cc1ccc(cc1C(F)(F)F)NC(=O)c1ccc(c(c1)C#Cc1nnc2n1cccc2)C,C29H27F3N6O,532.56,39,21,0.28,6,8,1,150.10,65.77,4.47,4.96,4.58,4.04,4.49,4.51,-6.27,2.87e-04,5.38e-07,Poorly soluble,-6.08,4.44e-04,8.33e-07,Poorly soluble,-8.46,1.84e-06,3.45e-09,Poorly soluble,High,Yes,Yes,No,Yes,Yes,Yes,No,-6.03,1,2,0,0,0,0.55,0,1,2,3.90
Molecule 5,CCc1cc(ccc1CN1CC(C1)C(=O)O)/C(=N/OCc1ccc(c(c1)C(F)(F)F)C1CCCCC1)/C,C29H35F3N2O3,516.60,37,12,0.52,10,8,1,142.60,62.13,4.89,4.76,7.24,4.80,7.25,5.79,-5.62,1.23e-03,2.39e-06,Moderately soluble,-5.80,8.28e-04,1.60e-06,Moderately soluble,-8.17,3.48e-06,6.73e-09,Poorly soluble,Low,No,Yes,No,No,No,Yes,Yes,-6.07,2,4,0,1,0,0.17,0,2,3,4.63
Molecule 6,CN1CCN(CC1)Cc1ccc(cc1C(F)(F)F)NC(=O)c1ccc(c(c1)C#Cc1cnc2n1nccc2)C,C29H27F3N6O,532.56,39,21,0.28,6,8,1,150.10,65.77,4.42,4.11,4.58,3.90,4.49,4.30,-5.73,9.83e-04,1.85e-06,Moderately soluble,-5.20,3.38e-03,6.35e-06,Moderately soluble,-8.46,1.84e-06,3.45e-09,Poorly soluble,High,Yes,Yes,No,Yes,Yes,Yes,No,-6.63,1,2,0,0,0,0.55,0,1,2,3.97
Molecule 7,CNC(=O)c1nccc(c1)Oc1ccc(cc1)NC(=O)Nc1ccc(c(c1)C(F)(F)F)Cl,C21H16ClF3N4O3,464.82,32,18,0.10,9,7,3,112.48,92.35,3.42,4.07,6.32,2.91,3.78,4.10,-5.11,3.62e-03,7.79e-06,Moderately soluble,-5.71,8.98e-04,1.93e-06,Moderately soluble,-8.60,1.16e-06,2.50e-09,Poorly soluble,Low,No,No,Yes,Yes,Yes,Yes,Yes,-6.25,0,1,0,1,0,0.55,0,0,3,2.87
Molecule 8,C[C@@H](C(F)(F)F)Oc1ccc(cc1C(F)(F)F)c1onc(n1)c1ccc2c(c1)nc[nH]2,C19H12F6N4O2,442.31,31,20,0.21,6,11,1,96.12,76.83,2.95,5.43,8.04,3.16,5.55,5.03,-6.08,3.64e-04,8.23e-07,Poorly soluble,-6.80,7.02e-05,1.59e-07,Poorly soluble,-8.25,2.51e-06,5.68e-09,Poorly soluble,Low,No,No,Yes,No,Yes,Yes,No,-5.14,0,1,0,1,2,0.55,0,0,2,3.71
Molecule 9,Fc1ccccc1c1nc2c(n1)cn(cc2)Cc1ccc(nn1)c1ccc(cc1C(F)(F)F)C(F)(F)F,C25H14F7N5,517.40,37,27,0.12,6,11,0,119.70,56.49,3.99,4.75,9.50,4.65,6.75,5.93,-6.18,3.38e-04,6.54e-07,Poorly soluble,-5.67,1.11e-03,2.15e-06,Moderately soluble,-10.78,8.63e-09,1.67e-11,Insoluble,Low,No,Yes,Yes,Yes,Yes,No,Yes,-6.08,2,2,0,1,1,0.17,0,0,2,3.45
Molecule 10,O=C(Nc1ccc(c(c1)C(F)(F)F)Cl)Nc1ccc(cc1)Oc1ccnc(c1)C(=O)NC([2H])([2H])[2H],C21H13ClD3F3N4O3,467.84,32,18,0.10,9,7,3,112.48,92.35,3.27,4.07,6.32,2.91,3.78,4.07,-5.13,3.49e-03,7.46e-06,Moderately soluble,-5.71,9.04e-04,1.93e-06,Moderately soluble,-8.60,1.17e-06,2.50e-09,Poorly soluble,Low,No,No,Yes,Yes,Yes,Yes,Yes,-6.26,0,1,0,1,0,0.55,0,0,3,2.87
